id,code,ref,description,category,subcategory,unit,rate,material_type,material_grade,material_size,material_finish,work_type,brand,labor_rate,material_rate,wastage_percentage,supplier,location,availability,remark,keywords,isActive
1d5745e1-f9f7-43f5-a6b5-cb2372c32b90,31915_44e3f914,__export__.product_product_31915_44e3f914,Steel drill bit - Wurth 155 piece set,Drill Bits & Tools,Steel Drill Bits,Unit,125,Steel,,Wurth 155 piece set,,,Wurth,,,,,,,Wurth 155 piece set,steel; drill; bit; wurth; 155; piece; set; drill bits & tools; steel drill bits; 31915_44e3f914,true
112c6660-8c47-428e-baa3-91619dd4b762,31916_3fff938f,__export__.product_product_31916_3fff938f,Steel drill bit - Wurth 19 piece set (1-10mm),Drill Bits & Tools,Steel Drill Bits,Unit,27.03,Steel,,Wurth 19 piece set (1-10mm),,,Wurth,,,,,,,Wurth 19 piece set (1-10mm),steel; drill; bit; wurth; piece; set; 10mm); drill bits & tools; steel drill bits; 31916_3fff938f,true
3c3e170c-49db-41c2-93d4-3a6c16d28fcf,31917_aad9a81a,__export__.product_product_31917_aad9a81a,Steel drill bit - Wurth 1.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.17,Steel,,Wurth 1.0mm,,,Wurth,,,,,,,Wurth 1.0mm,steel; drill; bit; wurth; 1.0mm; drill bits & tools; steel drill bits; 31917_aad9a81a,true
a3bc2e93-b117-4fe4-80fe-69cb40405f29,31918_1fabd019,__export__.product_product_31918_1fabd019,Steel drill bit - Wurth 2.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.9,Steel,,Wurth 2.0mm,,,Wurth,,,,,,,Wurth 2.0mm,steel; drill; bit; wurth; 2.0mm; drill bits & tools; steel drill bits; 31918_1fabd019,true
e2838faa-00cd-401a-b7aa-20dfd6d3ca15,31919_030ddc5b,__export__.product_product_31919_030ddc5b,Steel drill bit - Wurth 3.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.78,Steel,,Wurth 3.0mm,,,Wurth,,,,,,,Wurth 3.0mm,steel; drill; bit; wurth; 3.0mm; drill bits & tools; steel drill bits; 31919_030ddc5b,true
29fd2ceb-ffdc-4926-8634-93918bfeafa5,31920_f56a2b9f,__export__.product_product_31920_f56a2b9f,Steel drill bit - Wurth 3.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.99,Steel,,Wurth 3.5mm,,,Wurth,,,,,,,Wurth 3.5mm,steel; drill; bit; wurth; 3.5mm; drill bits & tools; steel drill bits; 31920_f56a2b9f,true
553dc458-75cb-43fe-a8c0-ecba186503d2,31921_f306a193,__export__.product_product_31921_f306a193,Steel drill bit - Wurth 4.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.41,Steel,,Wurth 4.0mm,,,Wurth,,,,,,,Wurth 4.0mm,steel; drill; bit; wurth; 4.0mm; drill bits & tools; steel drill bits; 31921_f306a193,true
85086545-0696-4d97-8e1c-715a3f6ea050,31922_ba624fc3,__export__.product_product_31922_ba624fc3,Steel drill bit - Wurth 4.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.54,Steel,,Wurth 4.5mm,,,Wurth,,,,,,,Wurth 4.5mm,steel; drill; bit; wurth; 4.5mm; drill bits & tools; steel drill bits; 31922_ba624fc3,true
a9d54a88-0f03-4758-b825-16fd7cc4a853,31923_d55cdd07,__export__.product_product_31923_d55cdd07,Steel drill bit - Wurth 5.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.4,Steel,,Wurth 5.0mm,,,Wurth,,,,,,,Wurth 5.0mm,steel; drill; bit; wurth; 5.0mm; drill bits & tools; steel drill bits; 31923_d55cdd07,true
ae91ec89-66f6-494b-8296-ed77913667e0,31924_affaa5a6,__export__.product_product_31924_affaa5a6,Steel drill bit - Wurth 5.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.84,Steel,,Wurth 5.5mm,,,Wurth,,,,,,,Wurth 5.5mm,steel; drill; bit; wurth; 5.5mm; drill bits & tools; steel drill bits; 31924_affaa5a6,true
3f392dc6-8336-47a8-8eaa-f61b92941f7f,31925_adaf9da3,__export__.product_product_31925_adaf9da3,Steel drill bit - Wurth 6.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.6,Steel,,Wurth 6.0mm,,,Wurth,,,,,,,Wurth 6.0mm,steel; drill; bit; wurth; 6.0mm; drill bits & tools; steel drill bits; 31925_adaf9da3,true
7b760763-2d37-43a4-b28c-bd04b046dc5f,31926_2e66ecf8,__export__.product_product_31926_2e66ecf8,Steel drill bit - Wurth 6.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.97,Steel,,Wurth 6.5mm,,,Wurth,,,,,,,Wurth 6.5mm,steel; drill; bit; wurth; 6.5mm; drill bits & tools; steel drill bits; 31926_2e66ecf8,true
4181a22c-5eed-4606-81a5-18c986d40397,31927_ec9a5b30,__export__.product_product_31927_ec9a5b30,Steel drill bit - Wurth 7.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.39,Steel,,Wurth 7.0mm,,,Wurth,,,,,,,Wurth 7.0mm,steel; drill; bit; wurth; 7.0mm; drill bits & tools; steel drill bits; 31927_ec9a5b30,true
57741ab6-a81a-4899-b935-d705d96d7475,31928_17b90e4a,__export__.product_product_31928_17b90e4a,Steel drill bit - Wurth 7.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.83,Steel,,Wurth 7.5mm,,,Wurth,,,,,,,Wurth 7.5mm,steel; drill; bit; wurth; 7.5mm; drill bits & tools; steel drill bits; 31928_17b90e4a,true
af65dabf-652b-464a-a412-08737bdb7510,31929_488fe91b,__export__.product_product_31929_488fe91b,Steel drill bit - Wurth 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.4,Steel,,Wurth 8.00mm,,,Wurth,,,,,,,Wurth 8.00mm,steel; drill; bit; wurth; 8.00mm; drill bits & tools; steel drill bits; 31929_488fe91b,true
47c02275-fa2d-46ba-ab44-46e9bbd67c55,31998_33dbf76b,__export__.product_product_31998_33dbf76b,Steel drill bit - Wurth 8.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,,Steel,,Wurth 8.0mm,,,Wurth,,,,,,,Wurth 8.0mm,steel; drill; bit; wurth; 8.0mm; drill bits & tools; steel drill bits; 31998_33dbf76b,true
8ac2d216-daae-4297-911f-65f5cf13f429,31930_fd0ffe91,__export__.product_product_31930_fd0ffe91,Steel drill bit - Wurth 8.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.01,Steel,,Wurth 8.5mm,,,Wurth,,,,,,,Wurth 8.5mm,steel; drill; bit; wurth; 8.5mm; drill bits & tools; steel drill bits; 31930_fd0ffe91,true
acd969e6-ba91-451d-9741-593cf5d1a8f2,31931_874c98d4,__export__.product_product_31931_874c98d4,Steel drill bit - Wurth 9.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.2,Steel,,Wurth 9.0mm,,,Wurth,,,,,,,Wurth 9.0mm,steel; drill; bit; wurth; 9.0mm; drill bits & tools; steel drill bits; 31931_874c98d4,true
bcd7e1b6-9192-4847-a53e-16b84f1cf7c6,31932_016bf7f8,__export__.product_product_31932_016bf7f8,Steel drill bit - Wurth 9.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,5.01,Steel,,Wurth 9.5mm,,,Wurth,,,,,,,Wurth 9.5mm,steel; drill; bit; wurth; 9.5mm; drill bits & tools; steel drill bits; 31932_016bf7f8,true
0bf3283c-327d-4d08-be4c-21923a8e84f5,31933_f2b807ad,__export__.product_product_31933_f2b807ad,Steel drill bit - Wurth 11.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.53,Steel,,Wurth 11.0mm,,,Wurth,,,,,,,Wurth 11.0mm,steel; drill; bit; wurth; 11.0mm; drill bits & tools; steel drill bits; 31933_f2b807ad,true
1474a926-de5d-4a0c-897e-69428c92a0dc,31934_39bebf0e,__export__.product_product_31934_39bebf0e,Steel drill bit - Wurth 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.7,Steel,,Wurth 12mm,,,Wurth,,,,,,,Wurth 12mm,steel; drill; bit; wurth; 12mm; drill bits & tools; steel drill bits; 31934_39bebf0e,true
e506616b-a1e9-497c-8a82-8d04d11c7724,31935_23a2fd5b,__export__.product_product_31935_23a2fd5b,Steel drill bit - Wurth 13.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,9,Steel,,Wurth 13.0mm,,,Wurth,,,,,,,Wurth 13.0mm,steel; drill; bit; wurth; 13.0mm; drill bits & tools; steel drill bits; 31935_23a2fd5b,true
8d966a08-2a59-4d73-bdc8-964fda07aade,35759_543ffc32,__export__.product_product_35759_543ffc32,Steel drill bit - Rawlplug 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.07,Steel,,Rawlplug 8.00mm,,,,,,,,,,Rawlplug 8.00mm,steel; drill; bit; rawlplug; 8.00mm; drill bits & tools; steel drill bits; 35759_543ffc32,true
46198402-48f7-4d74-afa0-bf1b9e7b3118,35760_c7e9711c,__export__.product_product_35760_c7e9711c,Steel drill bit - Rawlplug 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.13,Steel,,Rawlplug 12mm,,,,,,,,,,Rawlplug 12mm,steel; drill; bit; rawlplug; 12mm; drill bits & tools; steel drill bits; 35760_c7e9711c,true
52f69f80-dd4f-43a1-ba12-078f0aff8fa7,35761_d43252d1,__export__.product_product_35761_d43252d1,Steel drill bit - Rawlplug 25mm,Drill Bits & Tools,Steel Drill Bits,Unit,25.28,Steel,,Rawlplug 25mm,,,,,,,,,,Rawlplug 25mm,steel; drill; bit; rawlplug; 25mm; drill bits & tools; steel drill bits; 35761_d43252d1,true
783ffb4b-65fe-452f-b40e-df4a2456c970,31963_74581a68,__export__.product_product_31963_74581a68,"Adhesives - 300ml,colour",General,,Unit,5.9,,,"300ml,colour",,,,,,,,,,"300ml,colour",adhesives; 300ml; colour; general; 31963_74581a68,true
b0699749-20c4-44f6-b100-e4f45256e939,31999_4955797b,__export__.product_product_31999_4955797b,"Adhesives - 300ml,colour",General,,Unit,10.51,,,"300ml,colour",,,,,,,,,,"300ml,colour",adhesives; 300ml; colour; general; 31999_4955797b,true
d83618f3-7c49-4a53-ab84-a0fdd28dd06c,31964_7f8385e7,__export__.product_product_31964_7f8385e7,"Adhesives - 330ml,colour",General,,Unit,,,,"330ml,colour",,,,,,,,,,"330ml,colour",adhesives; 330ml; colour; general; 31964_7f8385e7,true
6743883c-7c48-4408-b6fa-1fbf28c1fa3a,32000_c4e4f5d0,__export__.product_product_32000_c4e4f5d0,"Adhesives - 330ml,colour",General,,Unit,,,,"330ml,colour",,,,,,,,,,"330ml,colour",adhesives; 330ml; colour; general; 32000_c4e4f5d0,true
027d1c29-c293-438b-a4bc-d3b0a96ddef2,31965_7e876005,__export__.product_product_31965_7e876005,"Adhesives - 500ml,colour",General,,Unit,,,,"500ml,colour",,,,,,,,,,"500ml,colour",adhesives; 500ml; colour; general; 31965_7e876005,true
c0ac5ce8-9988-4f58-8515-7b49643d75ca,32001_c7374eb5,__export__.product_product_32001_c7374eb5,"Adhesives - 500ml,colour",General,,Unit,,,,"500ml,colour",,,,,,,,,,"500ml,colour",adhesives; 500ml; colour; general; 32001_c7374eb5,true
cc1e157c-059e-4e54-b63a-0a0edd64fe7d,31966_73e6e8a6,__export__.product_product_31966_73e6e8a6,Flap disc - Lamella flap disc 115mm 0579580316,General,Individual Pieces,Unit,1.1,,,Lamella flap disc 115mm 0579580316,,,,,,,,,,Lamella flap disc 115mm 0579580316,flap; disc; lamella; 115mm; 0579580316; general; individual pieces; 31966_73e6e8a6,true
b81b0e85-02dd-4ca8-a041-bca7ad679e27,31967_d12f2368,__export__.product_product_31967_d12f2368,Flap disc - Wurth flap disc 230mm,General,Individual Pieces,Unit,,,,Wurth flap disc 230mm,,,Wurth,,,,,,,Wurth flap disc 230mm,flap; disc; wurth; 230mm; general; individual pieces; 31967_d12f2368,true
57f73f9f-e48d-4e2e-a960-c48ec50640d9,31968_bb499bdf,__export__.product_product_31968_bb499bdf,Expanding Foam,General,,Unit,7.48,,,,,,,,,,,,,,expanding; foam; general; 31968_bb499bdf,true
1440e52b-f08a-476d-85a0-b7b854978ad8,32012_58c41a7f,__export__.product_product_32012_58c41a7f,Vento panel board - Grey (8 pk) B815183A,Panels,,Unit,63.25,,,Grey (8 pk) B815183A,,,,,,,,,,Grey (8 pk) B815183A,vento; panel; board; grey; pk); b815183a; panels; 32012_58c41a7f,true
46402151-62c8-4e92-a906-791ca5193215,32013_28b61e1e,__export__.product_product_32013_28b61e1e,Vento panel board - Brown (8 pk) B815183B,Panels,,Unit,58.03,,,Brown (8 pk) B815183B,,,,,,,,,,Brown (8 pk) B815183B,vento; panel; board; brown; pk); b815183b; panels; 32013_28b61e1e,true
f71038a3-1d9a-41ef-92ae-aff70bc86130,32014_0abfda0b,__export__.product_product_32014_0abfda0b,Vento panel board - Natural (8 pk) B815183G,Panels,,Unit,69.64,,,Natural (8 pk) B815183G,,,,,,,,,,Natural (8 pk) B815183G,vento; panel; board; natural; pk); b815183g; panels; 32014_0abfda0b,true
8c0deb98-2493-4a45-8a0b-2270986a968d,32015_c0826306,__export__.product_product_32015_c0826306,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,,"2 pack,Colour",,,,,,,,,,"2 pack,Colour",vento; panel; rail; pack; colour; panels; 32015_c0826306,true
e2fc8d52-bfc0-40b6-9ace-e0bdbf865229,32017_d7e1d4e8,__export__.product_product_32017_d7e1d4e8,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,,"2 pack,Colour",,,,,,,,,,"2 pack,Colour",vento; panel; rail; pack; colour; panels; 32017_d7e1d4e8,true
f02a7297-998c-43df-8955-60580303d6d7,32019_b60a69f7,__export__.product_product_32019_b60a69f7,"Vento panel rail - 2 pack,Colour",Panels,,Unit,44.88,,,"2 pack,Colour",,,,,,,,,,"2 pack,Colour",vento; panel; rail; pack; colour; panels; 32019_b60a69f7,true
f3fe3310-4566-4f49-a12b-899a84a284f0,32016_78b38a66,__export__.product_product_32016_78b38a66,"Vento panel rail - 3 pack,Colour",Panels,,Unit,70.2,,,"3 pack,Colour",,,,,,,,,,"3 pack,Colour",vento; panel; rail; pack; colour; panels; 32016_78b38a66,true
a79b54f6-23ad-4e1a-8e71-d7137b6261ec,32018_d83f958b,__export__.product_product_32018_d83f958b,"Vento panel rail - 3 pack,Colour",Panels,,Unit,58.5,,,"3 pack,Colour",,,,,,,,,,"3 pack,Colour",vento; panel; rail; pack; colour; panels; 32018_d83f958b,true
c6a0b172-d048-4b37-911e-74046cfb117c,32020_6c798d80,__export__.product_product_32020_6c798d80,"Vento panel rail - 3 pack,Colour",Panels,,Unit,58.5,,,"3 pack,Colour",,,,,,,,,,"3 pack,Colour",vento; panel; rail; pack; colour; panels; 32020_6c798d80,true
ede9a529-725d-4d15-a37d-56144ed62b43,32104_8769589f,__export__.product_product_32104_8769589f,Application gun - Wurth 300-380ml,General,,Unit,,,,Wurth 300-380ml,,,Wurth,,,,,,,Wurth 300-380ml,application; gun; wurth; 300; 380ml; general; 32104_8769589f,true
ddc102e6-3c51-47ae-ae50-9f0fbd9a479f,33074_f2d9f731,__export__.product_product_33074_f2d9f731,Application gun - FIS DM S DISPENSER,General,,Unit,,,,FIS DM S DISPENSER,,,,,,,,,,FIS DM S DISPENSER,application; gun; fis; dispenser; general; 33074_f2d9f731,true
9315ad90-7232-4b1c-b983-8c2dfe64b4fb,32249_1febca1b,__export__.product_product_32249_1febca1b,Gripple wire joiner large - 1 pack,Wire & Mesh,,Unit,1.2,,,1 pack,,,,,,,,,,1 pack,gripple; wire; joiner; large; pack; wire & mesh; 32249_1febca1b,true
5411e663-139d-43ec-9aa3-a6946093d088,32250_5d9a7c27,__export__.product_product_32250_5d9a7c27,Gripple wire joiner large - 20 pack,Wire & Mesh,,Unit,,,,20 pack,,,,,,,,,,20 pack,gripple; wire; joiner; large; pack; wire & mesh; 32250_5d9a7c27,true
c227614b-8547-4b11-9c0c-053079821fa1,32284_fde4ba65,__export__.product_product_32284_fde4ba65,"Softshell jacket - xs,Colour",General,,Unit,,,,"xs,Colour",,,,,,,,,,"xs,Colour",softshell; jacket; colour; general; 32284_fde4ba65,true
c6c98c94-b81e-4424-babf-5bfc79e0e16c,32285_2b609e97,__export__.product_product_32285_2b609e97,"Softshell jacket - xs,Colour",General,,Unit,,,,"xs,Colour",,,,,,,,,,"xs,Colour",softshell; jacket; colour; general; 32285_2b609e97,true
82a5e934-bd2d-4ad1-b90f-e01b2dfc4f19,32286_ca4a03f4,__export__.product_product_32286_ca4a03f4,"Softshell jacket - xs,Colour",General,,Unit,,,,"xs,Colour",,,,,,,,,,"xs,Colour",softshell; jacket; colour; general; 32286_ca4a03f4,true
c76b7478-56dc-4646-a3b4-6640a8145063,32287_bd65af17,__export__.product_product_32287_bd65af17,"Softshell jacket - s,Colour",General,,Unit,,,,"s,Colour",,,,,,,,,,"s,Colour",softshell; jacket; colour; general; 32287_bd65af17,true
d886351d-a815-4309-815b-750121a8f57e,32288_9afc91b9,__export__.product_product_32288_9afc91b9,"Softshell jacket - s,Colour",General,,Unit,,,,"s,Colour",,,,,,,,,,"s,Colour",softshell; jacket; colour; general; 32288_9afc91b9,true
c1ae9306-1c0d-4c74-ac92-42e3d57bac9a,32289_d2c2b7e7,__export__.product_product_32289_d2c2b7e7,"Softshell jacket - s,Colour",General,,Unit,,,,"s,Colour",,,,,,,,,,"s,Colour",softshell; jacket; colour; general; 32289_d2c2b7e7,true
0d310e92-da8b-4203-887f-04e5869e9230,32290_f8e159dc,__export__.product_product_32290_f8e159dc,"Softshell jacket - m,Colour",General,,Unit,,,,"m,Colour",,,,,,,,,,"m,Colour",softshell; jacket; colour; general; 32290_f8e159dc,true
1f79bd6e-66ef-44bb-ac2a-e4310fd8421f,32291_a0691cd1,__export__.product_product_32291_a0691cd1,"Softshell jacket - m,Colour",General,,Unit,,,,"m,Colour",,,,,,,,,,"m,Colour",softshell; jacket; colour; general; 32291_a0691cd1,true
a25b3038-c0ce-40a4-b760-405ed62eb3a7,32292_ef4f5b33,__export__.product_product_32292_ef4f5b33,"Softshell jacket - m,Colour",General,,Unit,,,,"m,Colour",,,,,,,,,,"m,Colour",softshell; jacket; colour; general; 32292_ef4f5b33,true
8c260857-932a-4e77-9c62-f9f60151efcb,32293_4dba5931,__export__.product_product_32293_4dba5931,"Softshell jacket - l,Colour",General,,Unit,,,,"l,Colour",,,,,,,,,,"l,Colour",softshell; jacket; colour; general; 32293_4dba5931,true
7882a21d-a457-45b1-978e-1d964ea00715,32294_e2383381,__export__.product_product_32294_e2383381,"Softshell jacket - l,Colour",General,,Unit,,,,"l,Colour",,,,,,,,,,"l,Colour",softshell; jacket; colour; general; 32294_e2383381,true
71f565b4-5f7e-4006-b5ab-a1a3d1c30191,32295_6ad3a2c7,__export__.product_product_32295_6ad3a2c7,"Softshell jacket - l,Colour",General,,Unit,,,,"l,Colour",,,,,,,,,,"l,Colour",softshell; jacket; colour; general; 32295_6ad3a2c7,true
00d13754-d721-4878-b9ef-725c6753c23a,32296_62144a39,__export__.product_product_32296_62144a39,"Softshell jacket - xl,Colour",General,,Unit,,,,"xl,Colour",,,,,,,,,,"xl,Colour",softshell; jacket; colour; general; 32296_62144a39,true
b62127a8-679b-44e5-ae53-62f1af3afc6c,32297_6571913f,__export__.product_product_32297_6571913f,"Softshell jacket - xl,Colour",General,,Unit,,,,"xl,Colour",,,,,,,,,,"xl,Colour",softshell; jacket; colour; general; 32297_6571913f,true
3c84fa5e-4c51-4077-85aa-1e0db3e8a5e7,32298_263066de,__export__.product_product_32298_263066de,"Softshell jacket - xl,Colour",General,,Unit,,,,"xl,Colour",,,,,,,,,,"xl,Colour",softshell; jacket; colour; general; 32298_263066de,true
e3c5fde0-7242-4fe0-be51-44d479637adb,32432_2ca9ce71,__export__.product_product_32432_2ca9ce71,Concrete gravel board - 1.8m x 300mm,Concrete Products,Individual Pieces,Unit,20,Concrete,,1.8m x 300mm,,,,,,,,,,1.8m x 300mm,concrete; gravel; board; 1.8m; 300mm; concrete products; individual pieces; 32432_2ca9ce71,true
080a748a-686f-4bab-852d-2537b61e4cb9,32433_b3a09ff2,__export__.product_product_32433_b3a09ff2,Concrete gravel board - 1.8m x 150mm,Concrete Products,Individual Pieces,Unit,,Concrete,,1.8m x 150mm,,,,,,,,,,1.8m x 150mm,concrete; gravel; board; 1.8m; 150mm; concrete products; individual pieces; 32433_b3a09ff2,true
2ca59374-9cdc-4842-991f-7aaa11445214,32650_0fa0da5c,__export__.product_product_32650_0fa0da5c,Carbine hooks - 60 x 6m BZP,General,,Unit,0.28,,,60 x 6m BZP,,,,,,,,,,60 x 6m BZP,carbine; hooks; bzp; general; 32650_0fa0da5c,true
70486f0c-d355-4391-8a15-1de2186d919f,32651_47bb53c0,__export__.product_product_32651_47bb53c0,Carbine hooks - 80 x 8mm BZP,General,Individual Pieces,Unit,0.38,,,80 x 8mm BZP,,,,,,,,,,80 x 8mm BZP,carbine; hooks; 8mm; bzp; general; individual pieces; 32651_47bb53c0,true
437012a9-cdb0-42b4-aa99-d3461730a5dc,32652_2adad1e3,__export__.product_product_32652_2adad1e3,Carbine hooks - 100 x 10mm BZP,General,Individual Pieces,Unit,0.68,,,100 x 10mm BZP,,,,,,,,,,100 x 10mm BZP,carbine; hooks; 100; 10mm; bzp; general; individual pieces; 32652_2adad1e3,true
0a359a26-6033-4d7c-a211-0670c17f1709,32653_78b65e86,__export__.product_product_32653_78b65e86,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,0.4,,,"8mm BZP,lock type",,,,,,,,,,"8mm BZP,lock type",hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32653_78b65e86,true
8d39da80-2870-486f-a60d-eca0a5bd8bcc,32655_1cd16c2b,__export__.product_product_32655_1cd16c2b,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,0.94,,,"8mm BZP,lock type",,,,,,,,,,"8mm BZP,lock type",hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32655_1cd16c2b,true
82b2eb3f-c780-4716-a22e-9beeeede30e3,32659_7527dd2a,__export__.product_product_32659_7527dd2a,"Hooks and Shackles - 8mm BZP,lock type",General,Individual Pieces,Unit,,,,"8mm BZP,lock type",,,,,,,,,,"8mm BZP,lock type",hooks; and; shackles; 8mm; bzp; lock; type; general; individual pieces; 32659_7527dd2a,true
5e49736d-5fe1-4f3b-ba39-0d09210e9a27,32656_f74920c0,__export__.product_product_32656_f74920c0,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,0.94,,,"50mm BZP,lock type",,,,,,,,,,"50mm BZP,lock type",hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32656_f74920c0,true
671adf2a-9e79-417a-854a-4d528325e1b7,32654_5a894270,__export__.product_product_32654_5a894270,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,,,,"50mm BZP,lock type",,,,,,,,,,"50mm BZP,lock type",hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32654_5a894270,true
a9e6c77c-be6e-4da1-a957-b078bd3fc3cd,32660_b546956f,__export__.product_product_32660_b546956f,"Hooks and Shackles - 50mm BZP,lock type",General,Individual Pieces,Unit,0.55,,,"50mm BZP,lock type",,,,,,,,,,"50mm BZP,lock type",hooks; and; shackles; 50mm; bzp; lock; type; general; individual pieces; 32660_b546956f,true
fc7beeba-3f16-413f-9e04-0017128d84ad,32661_d8926b99,__export__.product_product_32661_d8926b99,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,1.06,,,"76 x 19mm,lock type",,,,,,,,,,"76 x 19mm,lock type",hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32661_d8926b99,true
66b22e7c-c6eb-44cc-b1d1-25ad46bfa09b,32657_65c69d1d,__export__.product_product_32657_65c69d1d,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,,,,"76 x 19mm,lock type",,,,,,,,,,"76 x 19mm,lock type",hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32657_65c69d1d,true
b4c0d99f-a540-44e7-b989-bb3cbf57267d,32658_2fb07ace,__export__.product_product_32658_2fb07ace,"Hooks and Shackles - 76 x 19mm,lock type",General,Individual Pieces,Unit,,,,"76 x 19mm,lock type",,,,,,,,,,"76 x 19mm,lock type",hooks; and; shackles; 19mm; lock; type; general; individual pieces; 32658_2fb07ace,true
43cc4ebc-e328-4f64-8f50-56165c5b8c15,32667_f4261271,__export__.product_product_32667_f4261271,"Poly rope blue - 6mm,length",General,Individual Pieces,Unit,5.15,,,"6mm,length",,,,,,,,,,"6mm,length",poly; rope; blue; 6mm; length; general; individual pieces; 32667_f4261271,true
8d98c494-aa32-4592-b40d-6c8f59bca615,32668_eb910d40,__export__.product_product_32668_eb910d40,"Poly rope blue - 6mm,length",General,Individual Pieces,Unit,,,,"6mm,length",,,,,,,,,,"6mm,length",poly; rope; blue; 6mm; length; general; individual pieces; 32668_eb910d40,true
90a87d5e-e74e-46c7-ac7d-da2d1687b38f,32669_a2cf27a5,__export__.product_product_32669_a2cf27a5,"Poly rope blue - 8mm,length",General,Individual Pieces,Unit,6.35,,,"8mm,length",,,,,,,,,,"8mm,length",poly; rope; blue; 8mm; length; general; individual pieces; 32669_a2cf27a5,true
e6f84302-dff0-478f-b832-63a31e1c773f,32670_932ab71b,__export__.product_product_32670_932ab71b,"Poly rope blue - 8mm,length",General,Individual Pieces,Unit,,,,"8mm,length",,,,,,,,,,"8mm,length",poly; rope; blue; 8mm; length; general; individual pieces; 32670_932ab71b,true
abf9bd6b-b273-48ef-9f1e-b7f4b46ec2ec,32671_8d3e31c6,__export__.product_product_32671_8d3e31c6,"Poly rope blue - 10mm,length",General,Individual Pieces,Unit,9.8,,,"10mm,length",,,,,,,,,,"10mm,length",poly; rope; blue; 10mm; length; general; individual pieces; 32671_8d3e31c6,true
980ae971-f33a-4d83-9024-4b23ef1917c0,32672_645876ca,__export__.product_product_32672_645876ca,"Poly rope blue - 10mm,length",General,Individual Pieces,Unit,,,,"10mm,length",,,,,,,,,,"10mm,length",poly; rope; blue; 10mm; length; general; individual pieces; 32672_645876ca,true
da59f02a-fe49-4935-9d96-c833493b0aed,32673_88f73d3a,__export__.product_product_32673_88f73d3a,"Poly rope blue - 12mm,length",General,Individual Pieces,Unit,13.35,,,"12mm,length",,,,,,,,,,"12mm,length",poly; rope; blue; 12mm; length; general; individual pieces; 32673_88f73d3a,true
a430dd05-b8f0-4233-bd6a-b81d71707c79,32674_cc22c885,__export__.product_product_32674_cc22c885,"Poly rope blue - 12mm,length",General,Individual Pieces,Unit,,,,"12mm,length",,,,,,,,,,"12mm,length",poly; rope; blue; 12mm; length; general; individual pieces; 32674_cc22c885,true
3e2e5641-e83f-49e0-9293-6145210f1126,32751_c7f1bac7,__export__.product_product_32751_c7f1bac7,Urban slatted panel rail - Anthracite grey,Panels,,Unit,50.4,,,Anthracite grey,,,,,,,,,,Anthracite grey,urban; slatted; panel; rail; anthracite; grey; panels; 32751_c7f1bac7,true
4815b264-0315-4855-a550-096cdecbbc4c,32750_1fad3ca6,__export__.product_product_32750_1fad3ca6,Urban slatted panel rail - brown,Panels,,Unit,,,,brown,,,,,,,,,,brown,urban; slatted; panel; rail; brown; panels; 32750_1fad3ca6,true
cf4468c6-9fa5-4267-b77a-07d98131c390,32752_1deecc58,__export__.product_product_32752_1deecc58,Urban slatted panel rail - Olive Grey B835000G,Panels,,Unit,50.4,,,Olive Grey B835000G,,,,,,,,,,Olive Grey B835000G,urban; slatted; panel; rail; olive; grey; b835000g; panels; 32752_1deecc58,true
